connection,time,rxpower,snr,qfactor,chdispcomp,carrieroffset,differentialgroupdelay,ber
5,2581,-5.4,17.4,10.3,-1268,0.009,10,0.000522703
0,2611,-4.6,17.4,10.3,-1270,-0.073,5,0.000499169
1,2612,-0.2,17.7,10.4,-819,0.024,7,0.000430165
2,2613,-3.7,16.7,9.9,-5886,-0.035,4,0.000815402
3,2614,-0.9,17.1,10.1,-5871,0.112,3,0.000666496
4,2615,-0.3,16.8,9.5,-826,0.069,11,0.001334485
5,2616,-5.4,17.4,10.3,-1272,0.053,10,0.000510624
0,2647,-4.6,17.5,10.3,-1261,0.069,5,0.000468633
1,2647,-0.2,17.7,10.4,-817,0.018,7,0.000413861
2,2648,-3.7,16.9,9.9,-5885,0.011,5,0.000814582
3,2649,-0.9,17.1,10.1,-5871,0.089,7,0.000618453
4,2650,-0.4,16.9,9.5,-825,0.044,11,0.001289271
5,2651,-5.3,17.3,10.3,-1271,0.004,10,0.000513635
0,2682,-4.7,17.6,10.4,-1264,0.022,5,0.000447575
1,2682,-0.1,17.7,10.4,-814,-0.031,7,0.000423429
2,2683,-3.8,16.8,9.9,-5888,-0.046,7,0.000785693
3,2684,-0.9,17.2,10.1,-5873,0.057,6,0.000624472
4,2685,-0.3,16.9,9.5,-828,0.086,10,0.001282003
5,2686,-5.3,17.3,10.3,-1268,0.002,10,0.000519028
0,2717,-4.6,17.6,10.3,-1268,0.071,5,0.000496015
1,2718,-0.2,17.7,10.4,-817,-0.061,7,0.00040118
2,2718,-3.8,16.8,9.9,-5888,-0.066,6,0.000819988
3,2719,-0.9,17.2,10.2,-5871,0.056,8,0.000593844
4,2720,-0.3,16.9,9.5,-827,0.047,10,0.001396
5,2721,-5.4,17.3,10.3,-1270,0.038,10,0.000515505
0,2752,-4.6,17.6,10.3,-1266,0.039,5,0.000470816
1,2753,-0.2,17.7,10.4,-816,-0.114,7,0.000431822
2,2753,-3.6,16.8,9.9,-5887,-0.044,8,0.000822569
3,2754,-0.9,17.2,10.1,-5877,0.069,5,0.000588761
4,2755,-0.3,16.9,9.5,-826,0.011,11,0.00129144
5,2756,-5.3,17.4,10.3,-1269,-0.02,9,0.000524182
0,2787,-4.7,17.5,10.3,-1264,0.12,5,0.000473434
1,2788,-0.2,17.7,10.4,-815,-0.109,7,0.000417248
2,2788,-3.6,16.8,9.9,-5890,-0.065,4,0.000805461
3,2789,-0.9,17.1,10.2,-5871,0.072,7,0.000622266
4,2790,-0.3,16.7,9.5,-826,0.045,11,0.001388596
5,2791,-5.4,17.2,10.3,-1268,0.039,9,0.000520545
0,2822,-4.7,17.4,10.4,-1268,0.051,5,0.000494252
1,2823,-0.2,17.7,10.4,-816,-0.019,7,0.000387827
2,2824,-3.7,16.9,9.9,-5889,-0.128,4,0.000820926
3,2825,-0.9,17.2,10.1,-5870,0.038,5,0.000635097
4,2826,-0.3,16.9,9.5,-824,0.048,11,0.001271393
5,2827,-5.4,17.4,10.3,-1269,0.038,10,0.000509293
0,2857,-4.7,17.5,10.4,-1267,0.055,5,0.000465726
1,2858,-0.2,17.7,10.4,-814,-0.005,7,0.000420391
2,2859,-3.6,16.9,9.9,-5891,-0.106,5,0.000837234
3,2860,-0.9,17.1,10.1,-5872,0.042,9,0.000605018
4,2861,-0.3,16.8,9.5,-826,0.095,11,0.00132832
5,2862,-5.4,17.2,10.3,-1274,0.083,10,0.000523117
0,2893,-5,17.6,10.4,-1264,-0.05,5,0.000431124
1,2893,-0.2,17.7,10.4,-815,0.007,7,0.00041056
2,2894,-3.7,17,9.9,-5887,-0.109,6,0.000788407
3,2895,-0.9,17,10.1,-5872,0.119,4,0.000659802
4,2896,-0.3,16.8,9.5,-830,0.04,10,0.001327505
5,2897,-5.4,17.4,10.3,-1268,0.047,10,0.00052763
0,2928,-4.9,17.6,10.4,-1265,-0.091,5,0.000451483
1,2929,-0.2,17.7,10.4,-814,0.002,7,0.000404508
2,2929,-3.7,17,9.9,-5892,-0.156,6,0.000821692
3,2930,-0.9,17.1,10.1,-5871,0.079,8,0.000644622
4,2931,-0.3,16.7,9.5,-825,0.103,10,0.001277716
5,2932,-5.4,17.4,10.3,-1269,0.038,10,0.000499415
0,2963,-5,17.5,10.4,-1265,-0.033,5,0.000453069
1,2964,-0.2,17.6,10.4,-815,-0.025,7,0.000418824
2,2965,-3.7,16.9,9.9,-5887,-0.134,8,0.000829744
3,2966,-0.9,17.1,10.2,-5871,0.091,9,0.000591631
